Name,Yr,Team,W,L,G,GS,CG,IP,H,HR,BB,SO,R,SV,BS,BK,ER,HBP,HLD,IBB,ShO,TBF,WP,HR/9,BB/9,K/9,K/BB,K-BB%,GB%,HR/FB,LOB%,ERA,BABIP,FIP,WHIP,WPA,WAR,Contract Yrs,Total Salary($),Avg Salary($)
Hisashi Iwakuma,2016,Mariners,16,12,33,33,0,199.0,218,28,46,147,95,0,0,0,91,5,0,3,0,836,4,1.27,2.08,6.65,3.2,12.1,40.8,11.9,75.7,4.12,0.311,4.27,1.33,0.53,2.4,1.0,12000000.0,12000000.0
Ian Kennedy,2016,Royals,11,11,33,33,0,195.2,173,33,66,184,81,0,0,0,80,13,0,1,0,818,4,1.52,3.04,8.46,2.79,14.4,33.2,12.8,83.1,3.68,0.268,4.67,1.22,1.56,1.6,5.0,70000000.0,14000000.0
J.A. Happ,2016,Blue Jays,20,4,32,32,0,195.0,168,22,60,163,72,0,0,2,69,6,0,0,0,796,3,1.02,2.77,7.52,2.72,12.9,42.5,11.1,79.7,3.18,0.268,3.96,1.17,2.59,3.2,3.0,36000000.0,12000000.0
Jason Motte,2016,Rockies,0,1,30,0,0,23.2,28,6,8,24,15,0,0,0,13,2,6,1,0,109,0,2.28,3.04,9.13,3.0,14.7,42.7,20.7,77.7,4.94,0.319,5.68,1.52,-0.03,-0.3,2.0,10000000.0,5000000.0
Jeff Samardzija,2016,Giants,12,11,32,32,1,203.1,190,24,54,167,88,0,0,0,86,1,0,4,0,829,2,1.06,2.39,7.39,3.09,13.6,46.5,11.9,74.3,3.81,0.285,3.85,1.2,0.55,2.7,5.0,90000000.0,18000000.0
Jerry Blevins,2016,Mets,4,2,73,0,0,42.0,36,4,15,52,14,2,1,0,13,1,16,3,0,178,1,0.86,3.21,11.14,3.47,20.8,45.8,10.0,81.9,2.79,0.302,3.05,1.21,0.39,0.7,1.0,4000000.0,4000000.0
Jhoulys Chacin,2016,Braves,6,8,34,22,1,144.0,153,14,55,119,81,0,0,1,77,5,0,4,0,632,8,0.88,3.44,7.44,2.16,10.1,48.4,11.0,68.3,4.81,0.317,4.01,1.44,-1.04,1.7,1.0,1100000.0,1100000.0
Joakim Soria,2016,Royals,5,8,70,0,0,66.2,70,10,27,68,31,1,7,3,30,2,20,0,0,293,2,1.35,3.65,9.18,2.52,14.0,50.0,17.5,80.0,4.05,0.32299999999999995,4.36,1.46,-1.83,0.0,3.0,25000000.0,8333333.333
Joba Chamberlain,2016,Indians,0,0,20,0,0,20.0,12,1,11,18,6,0,0,0,5,1,0,3,0,82,1,0.45,4.95,8.1,1.64,8.5,52.9,7.7,79.7,2.25,0.21600000000000005,3.8,1.15,0.67,0.1,1.0,1000000.0,1000000.0
Joe Blanton,2016,Dodgers,7,2,75,0,0,80.0,55,7,26,80,23,0,1,0,22,2,28,4,0,315,3,0.79,2.93,9.0,3.08,17.1,32.5,7.4,82.0,2.48,0.24,3.33,1.01,2.06,0.9,1.0,4000000.0,4000000.0
John Axford,2016,Athletics,6,4,68,0,0,65.2,65,6,30,60,30,3,7,0,29,3,15,1,0,289,4,0.82,4.11,8.22,2.0,10.4,54.2,11.5,75.9,3.97,0.311,4.01,1.45,-0.93,0.3,2.0,10000000.0,5000000.0
John Lackey,2016,Cubs,11,8,29,29,0,188.1,146,23,53,180,74,0,0,0,70,9,0,1,0,748,4,1.1,2.53,8.6,3.4,17.0,41.0,12.9,76.2,3.35,0.255,3.81,1.06,1.03,3.1,2.0,32000000.0,16000000.0
Johnny Cueto,2016,Giants,18,5,32,32,5,219.2,195,15,45,198,71,0,0,1,68,8,0,1,2,881,3,0.61,1.84,8.11,4.4,17.4,50.2,8.4,78.0,2.79,0.293,2.96,1.09,4.62,5.5,6.0,130000000.0,21666666.67
Jonathan Broxton,2016,Cardinals,4,2,66,0,0,60.2,52,7,24,57,32,0,3,0,29,3,12,5,0,259,1,1.04,3.56,8.46,2.38,12.7,48.0,14.6,67.9,4.3,0.268,4.1,1.25,-0.87,0.1,2.0,7500000.0,3750000.0
Jordan Zimmermann,2016,Tigers,9,7,19,18,0,105.1,118,14,26,66,63,0,0,0,57,2,0,0,0,450,3,1.2,2.22,5.64,2.54,8.9,43.1,10.3,65.7,4.87,0.304,4.42,1.37,-0.1,1.3,5.0,110000000.0,22000000.0
Juan Nicasio,2016,Pirates,10,7,52,12,0,118.0,117,15,45,138,64,0,2,0,59,7,6,3,0,513,3,1.14,3.43,10.53,3.07,18.1,43.5,13.6,71.0,4.5,0.331,3.78,1.37,-0.03,1.4,1.0,3000000.0,3000000.0
Marco Estrada,2016,Blue Jays,9,9,29,29,0,176.0,132,23,65,165,73,0,0,0,68,4,0,1,0,723,5,1.18,3.32,8.44,2.54,13.8,33.5,9.9,75.8,3.48,0.234,4.15,1.12,2.18,3.0,2.0,26000000.0,13000000.0
Mark Lowe,2016,Tigers,1,3,54,0,0,49.1,57,12,21,49,41,0,1,0,39,1,8,2,0,224,2,2.19,3.83,8.94,2.33,12.5,36.6,17.9,61.1,7.11,0.319,5.66,1.58,-0.5,-0.4,2.0,11000000.0,5500000.0
Matt Albers,2016,White Sox,2,6,58,1,0,51.1,67,10,19,30,44,0,4,0,36,3,13,1,0,237,4,1.75,3.33,5.26,1.58,4.6,48.6,16.4,60.0,6.31,0.326,5.8,1.68,-2.51,-0.9,1.0,2250000.0,2250000.0
Matt Belisle,2016,Nationals,0,0,40,0,0,46.0,43,2,7,32,13,0,0,0,9,1,4,3,0,186,2,0.39,1.37,6.26,4.57,13.4,47.2,4.5,78.8,1.76,0.285,2.84,1.09,0.59,0.7,1.0,1250000.0,1250000.0
Matt Thornton,2016,Padres,1,0,18,0,0,17.0,22,2,6,9,12,0,0,0,11,1,0,0,0,77,0,1.06,3.18,4.76,1.5,3.9,54.1,12.5,64.9,5.82,0.339,4.85,1.65,-0.41,-0.1,1.0,1600000.0,1600000.0
Mike Leake,2016,Cardinals,9,12,30,30,0,176.2,203,20,30,125,101,0,0,0,92,7,0,1,0,757,7,1.02,1.53,6.37,4.17,12.6,53.7,13.5,65.6,4.69,0.318,3.83,1.32,-1.6,2.5,5.0,80000000.0,16000000.0
Mike Pelfrey,2016,Tigers,4,10,24,22,0,119.0,160,15,46,56,76,0,0,0,67,6,0,0,0,541,3,1.13,3.48,4.24,1.22,1.9,52.2,13.6,71.2,5.07,0.34700000000000003,5.15,1.73,-2.07,0.5,2.0,16000000.0,8000000.0
Neftali Feliz,2016,Pirates,4,2,62,0,0,53.2,40,10,21,61,21,2,2,0,21,1,29,1,0,218,3,1.68,3.52,10.23,2.9,18.4,37.9,19.2,85.4,3.52,0.24,4.53,1.14,1.01,-0.1,1.0,3900000.0,3900000.0
Oliver Perez,2016,Nationals,2,3,64,0,0,40.0,38,4,20,46,22,0,1,0,22,7,15,3,0,182,5,0.9,4.5,10.35,2.3,14.3,39.0,10.0,72.4,4.95,0.324,4.17,1.45,-0.32,0.1,2.0,7000000.0,3500000.0
Rich Hill,2016,Athletics,12,5,20,20,0,110.1,77,4,33,129,29,0,0,0,26,8,0,0,0,439,0,0.33,2.69,10.52,3.91,21.9,45.3,4.2,79.2,2.12,0.275,2.39,1.0,2.59,3.8,1.0,6000000.0,6000000.0
Ross Detwiler,2016,Indians,2,4,16,7,0,48.2,59,5,19,26,34,0,1,0,33,1,0,0,0,220,3,0.92,3.51,4.81,1.37,3.2,43.1,8.2,62.5,6.1,0.32,4.65,1.6,-0.56,0.3,1.0,1000000.0,1000000.0
Ryan Buchter,2016,Padres,3,0,67,0,0,63.0,34,4,31,78,20,1,1,0,20,2,20,3,0,247,3,0.57,4.43,11.14,2.52,19.0,20.6,5.1,76.6,2.86,0.227,3.07,1.03,1.9,1.1,1.0,520000.0,520000.0
Ryan Madson,2016,Athletics,6,7,63,0,0,64.2,63,7,20,49,27,30,7,1,26,2,3,3,0,270,4,0.97,2.78,6.82,2.45,10.7,46.4,11.7,77.1,3.62,0.292,4.06,1.28,-0.69,0.4,3.0,22000000.0,7333333.333
Ryan Vogelsong,2016,Pirates,3,7,24,14,0,82.1,81,11,40,61,51,0,0,0,44,4,1,2,0,366,4,1.2,4.37,6.67,1.53,5.7,40.5,11.5,67.5,4.81,0.28,5.0,1.47,-0.75,0.1,1.0,2000000.0,2000000.0
Scott Kazmir,2016,Dodgers,10,6,26,26,0,136.1,133,21,52,134,71,0,0,0,69,7,0,3,0,590,5,1.39,3.43,8.85,2.58,13.9,40.8,15.0,74.4,4.56,0.298,4.48,1.36,-0.94,1.2,3.0,48000000.0,16000000.0
Shawn Kelley,2016,Nationals,3,2,67,0,0,58.0,41,9,11,80,19,7,2,0,17,0,13,2,0,224,2,1.4,1.71,12.41,7.27,30.8,36.4,13.8,83.8,2.64,0.258,2.97,0.9,0.98,1.1,3.0,15000000.0,5000000.0
Steve Cishek,2016,Mariners,4,6,62,0,0,64.0,44,8,21,76,21,25,7,0,20,4,9,2,0,258,4,1.13,2.95,10.69,3.62,21.3,43.9,13.1,83.0,2.81,0.242,3.57,1.02,0.5,0.9,2.0,10000000.0,5000000.0
Tommy Hunter,2016,Indians,2,2,33,0,0,34.0,35,1,8,23,13,0,1,0,12,2,1,1,0,139,0,0.26,2.12,6.09,2.88,10.8,49.5,3.7,73.4,3.18,0.324,3.06,1.26,-0.14,0.5,1.0,2000000.0,2000000.0
Tony Sipp,2016,Astros,1,2,60,0,0,43.2,52,12,18,40,26,1,1,0,24,1,12,0,0,195,0,2.47,3.71,8.24,2.22,11.3,36.0,19.4,83.0,4.95,0.32299999999999995,6.19,1.6,-0.79,-0.7,3.0,18000000.0,6000000.0
Trevor Cahill,2016,Cubs,4,4,50,1,0,65.2,49,7,35,66,22,0,1,0,20,5,4,3,0,284,3,0.96,4.8,9.05,1.89,10.9,56.6,18.4,84.6,2.74,0.246,4.35,1.28,-0.26,0.0,1.0,4250000.0,4250000.0
Tyler Clippard,2016,Diamondbacks,4,6,69,0,0,63.0,54,10,26,72,27,3,3,3,25,1,25,2,0,262,5,1.43,3.71,10.29,2.77,17.6,31.0,12.7,80.6,3.57,0.28800000000000003,4.21,1.27,0.5,0.6,2.0,12250000.0,6125000.0
Yovani Gallardo,2016,Orioles,6,8,23,23,0,118.0,126,16,61,85,74,0,0,0,71,1,0,2,0,526,6,1.22,4.65,6.48,1.39,4.6,43.2,11.7,68.8,5.42,0.303,5.04,1.58,-1.38,0.6,2.0,22000000.0,11000000.0
Yusmeiro Petit,2016,Nationals,3,5,36,1,0,62.0,67,12,15,49,33,1,1,1,31,0,1,3,0,265,3,1.74,2.18,7.11,3.27,12.8,41.5,15.0,75.2,4.5,0.29100000000000004,4.81,1.32,-0.68,-0.2,1.0,3000000.0,3000000.0
Zack Greinke,2016,Diamondbacks,13,7,26,26,1,158.2,161,23,41,134,80,0,0,0,77,0,0,3,1,667,1,1.3,2.33,7.6,3.27,13.9,45.9,13.9,71.9,4.37,0.294,4.12,1.27,0.8,2.2,6.0,206500000.0,34416666.67
Andrew Cashner,2017,Rangers,11,11,28,28,0,166.2,156,15,64,86,75,0,0,1,63,9,0,0,0,704,10,0.81,3.46,4.64,1.34,3.1,48.6,8.6,74.0,3.4,0.266,4.61,1.32,1.58,1.9,1.0,10000000.0,10000000.0
Aroldis Chapman,2017,Yankees,4,3,52,0,0,50.1,37,3,20,69,20,22,4,0,18,3,1,2,0,210,5,0.54,3.58,12.34,3.45,23.3,48.7,7.3,71.7,3.22,0.29600000000000004,2.56,1.13,0.92,1.6,5.0,86000000.0,17200000.0
Bartolo Colon,2017,Braves,7,14,28,28,1,143.0,192,28,35,89,112,0,0,1,103,1,0,0,0,648,1,1.76,2.2,5.6,2.54,8.3,41.8,14.1,61.4,6.48,0.331,5.21,1.59,-2.86,0.6,1.0,12500000.0,12500000.0
Boone Logan,2017,Indians,1,0,38,0,0,21.0,20,2,9,28,13,0,1,0,11,1,4,0,0,91,0,0.86,3.86,12.0,3.11,20.9,50.0,14.3,62.5,4.71,0.353,3.16,1.38,0.45,0.3,1.0,6500000.0,6500000.0
Brad Ziegler,2017,Marlins,1,4,53,0,0,47.0,57,1,16,26,29,10,5,0,25,6,7,6,0,211,1,0.19,3.06,4.98,1.63,4.7,64.2,4.0,64.4,4.79,0.34600000000000003,3.73,1.55,-0.88,0.5,2.0,16000000.0,8000000.0
Brett Cecil,2017,Cardinals,2,4,73,0,0,67.1,67,7,16,66,31,1,6,0,29,0,13,3,0,277,3,0.94,2.14,8.82,4.13,18.1,42.7,10.6,71.0,3.88,0.319,3.26,1.23,-2.2,1.1,4.0,30500000.0,7625000.0
Brian Duensing,2017,Cubs,1,1,68,0,0,62.1,58,6,18,61,19,0,1,0,19,2,13,1,0,257,2,0.87,2.6,8.81,3.39,16.7,48.6,10.3,84.8,2.74,0.306,3.41,1.22,1.15,0.7,1.0,2000000.0,2000000.0
Bryan Morris,2017,Giants,2,0,20,0,0,21.0,24,1,11,15,16,0,0,0,15,0,1,2,0,94,1,0.43,4.71,6.43,1.36,4.3,47.7,5.3,56.6,6.43,0.343,3.92,1.67,-0.18,0.1,1.0,1250000.0,1250000.0
Charlie Morton,2017,Astros,14,7,25,25,0,146.2,125,14,50,163,65,0,0,0,59,13,0,1,0,617,4,0.86,3.07,10.0,3.26,18.3,51.8,12.5,73.0,3.62,0.294,3.46,1.19,0.59,3.3,2.0,14000000.0,7000000.0
Clayton Richard,2017,Padres,8,15,32,32,2,197.1,240,24,59,151,114,0,0,1,105,8,0,6,1,858,7,1.09,2.69,6.89,2.56,10.7,59.2,19.4,70.6,4.79,0.35100000000000003,4.23,1.52,-1.51,2.3,1.0,1750000.0,1750000.0
Daniel Hudson,2017,Pirates,2,7,71,0,0,61.2,57,7,33,66,34,0,2,0,30,5,21,1,0,271,4,1.02,4.82,9.63,2.0,12.2,43.3,11.9,71.6,4.38,0.313,4.34,1.46,-1.55,0.1,2.0,11000000.0,5500000.0
Derek Holland,2017,White Sox,7,14,29,26,0,135.0,156,31,75,104,106,0,0,0,93,8,0,2,0,626,7,2.07,5.0,6.93,1.39,4.6,37.7,17.6,68.0,6.2,0.306,6.45,1.71,-2.18,-0.9,1.0,6000000.0,6000000.0
Drew Storen,2017,Reds,4,2,58,0,0,54.2,57,7,23,48,32,1,2,0,27,10,6,5,0,246,1,1.15,3.79,7.9,2.09,10.2,50.0,13.2,72.3,4.45,0.316,4.88,1.46,0.05,-0.2,1.0,3000000.0,3000000.0
Dustin McGowan,2017,Marlins,8,2,63,0,0,77.2,77,13,27,64,42,0,3,0,41,2,3,5,0,330,5,1.51,3.13,7.42,2.37,11.2,50.9,18.6,72.9,4.75,0.28600000000000003,4.81,1.34,0.09,-0.3,1.0,1750000.0,1750000.0
Edinson Volquez,2017,Marlins,4,8,17,17,1,92.1,78,8,53,81,46,0,0,0,43,3,0,3,1,397,4,0.78,5.17,7.9,1.53,7.1,45.8,9.9,71.7,4.19,0.278,4.35,1.42,-0.1,1.0,2.0,22000000.0,11000000.0
Edwin Jackson,2017,Orioles,5,6,16,13,0,76.0,86,20,29,60,53,0,0,0,44,0,0,2,0,339,3,2.37,3.43,7.11,2.07,9.1,37.0,17.7,71.3,5.21,0.287,6.14,1.51,-0.99,-0.3,1.0,2450000.0,2450000.0
Fernando Rodney,2017,Diamondbacks,5,4,61,0,0,55.1,40,3,26,65,29,39,6,0,26,2,0,3,0,231,7,0.49,4.23,10.57,2.5,16.9,52.2,7.0,61.1,4.23,0.274,3.03,1.19,1.38,1.4,1.0,2750000.0,2750000.0
Ivan Nova,2017,Pirates,11,14,31,31,2,187.0,203,29,36,131,96,0,0,0,86,7,0,2,1,785,8,1.4,1.73,6.3,3.64,12.1,45.7,15.8,73.0,4.14,0.299,4.46,1.28,-0.18,1.9,3.0,26000000.0,8666666.666666666
J.P. Howell,2017,Blue Jays,1,1,16,0,0,11.0,13,2,7,6,9,0,1,0,9,0,0,0,0,52,1,1.64,5.73,4.91,0.86,-1.9,57.9,25.0,64.0,7.36,0.297,6.34,1.82,-0.58,-0.2,1.0,3000000.0,3000000.0
Jason Hammel,2017,Royals,8,13,32,32,0,180.1,209,26,48,145,109,0,0,1,106,9,0,2,0,804,7,1.3,2.4,7.24,3.02,12.1,38.0,10.6,68.4,5.29,0.318,4.37,1.43,-1.58,2.1,2.0,16000000.0,8000000.0
Jeff Locke,2017,Marlins,0,5,7,7,0,32.0,42,4,15,26,30,0,0,0,29,0,0,3,0,152,3,1.13,4.22,7.31,1.73,7.2,46.8,10.8,52.5,8.16,0.355,4.56,1.78,-0.96,0.3,1.0,3000000.0,3000000.0
Jered Weaver,2017,Padres,0,5,9,9,0,42.1,51,16,12,23,41,0,0,0,35,4,0,0,0,191,0,3.4,2.55,4.89,1.92,5.8,40.7,28.6,58.3,7.44,0.257,8.12,1.49,-1.34,-1.1,1.0,3000000.0,3000000.0
Jerry Blevins,2017,Mets,6,0,75,0,0,49.0,43,4,24,69,16,1,7,0,16,4,19,2,0,217,2,0.73,4.41,12.67,2.88,20.7,41.0,8.9,84.1,2.94,0.336,3.12,1.37,0.96,1.0,1.0,6500000.0,6500000.0
Jesse Chavez,2017,Angels,7,11,38,21,0,138.0,148,28,45,119,83,0,1,0,82,2,1,2,0,586,1,1.83,2.93,7.76,2.64,12.6,41.1,18.3,71.9,5.35,0.306,5.09,1.4,-2.19,0.3,1.0,5750000.0,5750000.0
Jhoulys Chacin,2017,Padres,13,10,32,32,0,180.1,157,19,72,153,82,0,0,1,78,14,0,5,0,765,7,0.95,3.59,7.64,2.13,10.6,49.1,11.4,74.4,3.89,0.272,4.26,1.27,1.2,2.3,1.0,1750000.0,1750000.0
Joaquin Benoit,2017,Phillies,1,6,52,0,0,50.1,43,7,22,46,28,2,4,0,26,1,13,1,0,213,1,1.25,3.93,8.23,2.09,11.3,33.3,10.0,67.6,4.65,0.263,4.51,1.29,-0.82,0.2,1.0,7500000.0,7500000.0
Joe Blanton,2017,Nationals,2,4,51,0,0,44.1,53,10,13,39,29,0,0,0,28,1,7,2,0,195,1,2.03,2.64,7.92,3.0,13.3,33.3,15.9,71.7,5.68,0.326,5.28,1.49,-0.16,-0.3,1.0,4000000.0,4000000.0
Joe Smith,2017,Blue Jays,3,0,59,0,0,54.0,46,4,10,71,20,1,1,0,20,1,21,1,0,214,0,0.67,1.67,11.83,7.1,28.5,49.6,10.5,72.0,3.33,0.328,2.1,1.04,2.43,1.8,1.0,3000000.0,3000000.0
Junichi Tazawa,2017,Marlins,3,5,55,0,0,55.1,55,8,22,38,35,0,3,0,35,2,9,4,0,238,2,1.3,3.58,6.18,1.73,6.7,35.6,11.6,64.9,5.69,0.28,4.96,1.39,-0.4,-0.3,2.0,12000000.0,6000000.0
Kenley Jansen,2017,Dodgers,5,0,65,0,0,68.1,44,5,7,109,11,41,1,1,10,2,1,0,0,258,2,0.66,0.92,14.36,15.57,39.5,38.4,8.9,91.3,1.32,0.289,1.31,0.75,5.57,3.6,5.0,80000000.0,16000000.0
Koji Uehara,2017,Cubs,3,4,49,0,0,43.0,38,7,12,50,21,2,3,0,19,0,14,3,0,178,0,1.47,2.51,10.47,4.17,21.4,24.6,12.3,72.1,3.98,0.284,3.79,1.16,-0.25,0.6,1.0,6000000.0,6000000.0
Marc Rzepczynski,2017,Mariners,2,2,64,0,0,31.1,29,2,20,25,16,1,2,0,14,1,20,5,0,137,3,0.57,5.74,7.18,1.25,3.7,70.0,15.4,72.0,4.02,0.303,4.4,1.56,1.22,0.0,2.0,11000000.0,5500000.0
Mark Melancon,2017,Giants,1,2,32,0,0,30.0,37,3,6,29,16,11,5,0,15,1,5,0,0,130,2,0.9,1.8,8.7,4.83,17.7,52.7,12.5,70.4,4.5,0.374,3.22,1.43,-0.61,0.4,4.0,62000000.0,15500000.0
Matt Belisle,2017,Twins,2,2,62,0,0,60.1,48,7,22,54,31,9,5,1,27,2,17,6,0,247,2,1.04,3.28,8.06,2.45,13.0,40.7,10.9,65.9,4.03,0.253,4.07,1.16,0.9,0.6,1.0,2050000.0,2050000.0
Neftali Feliz,2017,Brewers,2,5,49,0,0,46.0,40,9,23,37,33,8,1,0,28,1,2,2,0,196,1,1.76,4.5,7.24,1.61,7.1,32.6,15.0,60.3,5.48,0.246,5.66,1.37,-0.76,-0.6,1.0,5350000.0,5350000.0
R.A. Dickey,2017,Braves,10,10,31,31,0,190.0,193,26,67,136,99,0,0,2,90,10,0,3,0,815,13,1.23,3.17,6.44,2.03,8.5,46.9,13.2,73.2,4.26,0.29,4.72,1.37,-0.84,1.6,1.0,8000000.0,8000000.0
Rich Hill,2017,Dodgers,12,8,25,25,1,135.2,99,18,49,166,51,0,0,1,50,9,0,1,0,552,2,1.19,3.25,11.01,3.39,21.2,36.9,12.5,80.4,3.32,0.261,3.72,1.09,1.35,2.6,3.0,48000000.0,16000000.0
Santiago Casilla,2017,Athletics,4,5,63,0,0,59.0,58,8,22,57,29,16,7,0,28,6,4,1,0,259,3,1.22,3.36,8.69,2.59,13.5,40.1,12.1,76.2,4.27,0.301,4.41,1.36,-1.46,0.1,2.0,11000000.0,5500000.0
Scott Feldman,2017,Reds,7,7,21,21,1,111.1,116,21,35,93,62,0,0,0,59,6,0,2,1,472,3,1.7,2.83,7.52,2.66,12.3,42.8,21.4,74.5,4.77,0.3,5.04,1.36,0.06,0.7,1.0,2300000.0,2300000.0
Sergio Romo,2017,Dodgers,3,1,55,0,0,55.2,42,9,19,59,23,0,1,1,22,1,11,2,0,224,2,1.46,3.07,9.54,3.11,17.9,37.2,14.5,79.0,3.56,0.243,4.22,1.1,1.03,0.3,1.0,3000000.0,3000000.0
Travis Wood,2017,Royals,4,7,39,14,0,94.0,118,19,45,65,77,0,1,0,71,2,1,0,0,436,1,1.82,4.31,6.22,1.44,4.6,35.6,14.0,63.6,6.8,0.325,5.9,1.73,-2.59,-0.6,2.0,12000000.0,6000000.0
Trevor Cahill,2017,Padres,4,3,21,14,0,84.0,91,16,45,87,50,0,0,0,46,3,1,1,0,381,16,1.71,4.82,9.32,1.93,11.0,55.6,25.0,76.3,4.93,0.326,5.28,1.62,-1.0,0.3,1.0,1750000.0,1750000.0
Tyson Ross,2017,Rangers,3,3,12,10,0,49.0,53,7,37,36,46,0,0,0,42,6,0,0,0,238,4,1.29,6.8,6.61,0.97,-0.4,46.8,13.0,58.0,7.71,0.303,6.18,1.84,-1.21,-0.2,1.0,6000000.0,6000000.0
